trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,18,-94.92473908256194,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-291.65638055853884,"{0: 9, 1: 2, 2: 7, 3: 3, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,0.16403426455155667,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-40.78304388723948,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,7,-68.58749180467846,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,17,3.0414021903219024,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,11,-67.0403130880365,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,6,-5.8715469545347325,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,9,-68.58438161084808,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,2,-78.33511755062803,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,15.2494990051946,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-39.805242755797345,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,2.5967496563977477,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-14.83859170929827,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,6.305227996037832,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,8.235765910984474,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,5,20.597917034439817,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,19.434169968193075,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,2,7.775931125428424,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,21.259638654959677,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,9,3.987793499353992,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,14.208870672278048,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,45.72283301793885,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,9,16.22470808407915,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,9,16.430984344442187,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,4,15.26452932239942,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,7,28.4528410891337,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,6.744524996152238,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,24.225848219653873,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,23.02416951075493,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
