trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,17,-45.780034118901646,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9025}",30,4,-165.29857000667886,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,1,-99.60104381204985,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-145.95790071224377,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",30,0,-171.2877302660088,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,10,-70.6388041571405,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",30,0,-187.477074272487,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,9,-17.48397306744413,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",30,0,-86.40271416357052,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",30,10,-71.51862606717549,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",25,15,-57.98280256883107,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",20,12,5.402097709100788,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",20,0,-62.11006572129814,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",20,6,17.675760834386242,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,12,-4.957519201936353,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",20,11,-12.703559828237022,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,0,24.402221266508473,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",20,11,3.4805210897853875,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",30,18,20.94856496687575,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",25,5,22.976022773903075,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",30,11,-57.58883308533785,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",20,10,-18.051680331935128,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",25,0,-63.257769985074844,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",30,22,13.186372307218347,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",25,12,-28.682763051597416,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",20,3,-11.663728453072382,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",20,2,-8.326496229737561,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",25,0,33.42127302942827,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",25,16,15.320281274060953,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",20,0,20.164418330821555,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",20,6,-14.664659442177216,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",30,4,27.870810272050853,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",30,18,-1.1151423173195405,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",20,6,19.928091658281826,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",20,0,5.6796794801544435,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",25,11,26.19402950310733,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",20,8,3.5878940585677572,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",25,6,29.400191771509252,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",20,11,17.48406569160552,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.1285121565651031}",25,7,10.491984961769319,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.12208654873684793}",25,0,22.040157674590212,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000553}",25,15,11.383723075307955,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500525}",25,4,0.005106085560836027,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325498}",20,15,1.4135822989838287,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709223}",20,7,18.258707382392956,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",30,18,24.36405690022934,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",20,0,11.028032964764675,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",30,12,-8.497979114462243,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.08099471081759278}",20,2,16.20443002756901,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671314}",20,9,5.619097581879844,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287748}",20,14,10.348772380881725,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.0694428401872336}",30,16,19.105320195618486,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.0659706981778719}",20,2,29.140210853337177,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.0626721632689783}",25,14,11.69220036649848,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.059538555105529384}",25,20,10.711986535202103,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.05656162735025291}",20,14,7.677900881173036,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.053733545982740265}",35,0,36.43423557553463,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.05104686868360325}",20,0,22.221754555179626,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.04849452524942309}",30,12,28.057046464423568,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,8,38.400688044197736,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,12.054714599970366,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,12.381828104854938,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,7,22.35413580475418,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,16,8.358907389514261,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,17.42488903322712,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,14.381234161691062,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,5,33.51484751229468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,11,25.69444955409228,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,24.275949880298135,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
