trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9025}",20,0,-35.45108613153853,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8098749999999999}",25,0,-79.26590674432524,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.7218812499999998}",25,0,-103.45861941175167,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6382871874999998}",30,0,-34.132574284866934,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.5588728281249997}",20,0,-116.53686772348041,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.4834291867187497}",25,0,-130.3220866881927,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.4117577273828122}",20,0,-148.51971321033182,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.3436698410136716}",25,0,-119.67160791076911,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.278986348962988}",20,0,-187.44379836688944,"{0: 6, 1: 4, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.2175370315148386}",25,0,-116.83896991590984,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.15916017993909667}",25,0,-115.32571353943884,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.10370217094214183}",35,0,-208.9525140193981,"{0: 20, 1: 2, 2: 8, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.051017062395034736}",25,0,-208.43097922424485,"{0: 11, 1: 1, 2: 10, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.0009662092752829965}",20,0,-99.75975876065434,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': -0.046582101188481155}",25,0,-82.62224102869719,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': -0.09175299612905709}",20,0,-93.28281533490555,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': -0.13466534632260424}",20,0,-24.499151826686433,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': -0.175432079006474}",20,0,-181.0621782407941,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': -0.2141604750561503}",20,0,-94.68906481314036,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -0.25095245130334276}",25,0,-48.776963976713944,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-255.3888860861129,"{0: 12, 1: 5, 2: 8, 3: 2, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,14,0.40839208616746525,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-127.24898370381887,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-47.509747401743795,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-167.3932908393242,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-117.64091719564958,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-131.9839094250214,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",35,0,-174.9133531948743,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,11,-32.80241297041036,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-76.72499245041934,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
